Hotspot,Latitude,Longitude
Central_Station,52.37688,4.90016
Damrak,52.37518,4.89587
Oudekerksplein,52.37464,4.89793
Dam,52.3732,4.89362
Nieuwmarkt,52.37264,4.89988
Oudezijds_Achterburgwal,52.37207,4.89763
Nieuwe_Hoogstraat,52.37067,4.89982
Kalverstraat,52.37003,4.89135
Oude_Turfmarkt,52.36848,4.89302
Staalstraat,52.36824,4.89751
Waterlooplein,52.36805,4.9022
Rembrandtplein,52.36628,4.89661
Muntplein,52.36701,4.89334
Nieuwezijds_Voorburgwal,52.37362,4.89046
Martelaarsgracht,52.37794,4.89645
Overhoeksplein,52.38413,4.90273
Passenger_Terminal_Amsterdam,52.37786,4.9152
Scheepvaartmuseum,52.3717,4.91487
Artis,52.36676,4.9108
Utrechtsestraat,52.36358,4.89838
Koningsplein,52.367,4.88923
Leidsestraat,52.36651,4.88757
De_9_Straatjes,52.37019,4.88606
Westerkerk,52.37453,4.88396
Noorderkerk,52.37975,4.88619
Haarlemmerstraat,52.38027,4.89184
Haarlemmerdijk,52.38295,4.88662
Weesperplein,52.36184,4.90804
Weteringschans,52.3597,4.89083
Leidseplein,52.36366,4.882
Elandsgracht,52.36931,4.87958
Frederik_Hendrikplantsoen,52.37885,4.87693
Javastraat,52.36373,4.93748
Dappermarkt,52.36219,4.92778
Oosterpark,52.35995,4.92032
Wibautstraat,52.35402,4.91232
Museumplein,52.35738,4.88306
Vondelpark,52.35799,4.86864
Ten_Kate_markt,52.36687,4.8669
Westerpark,52.38619,4.87473
